CLOTHING,DOMESTIC_EXPEDITED,false,1,25,16.01.2018
ELECTRONICS,INTERNATIONAL,true,2,26,16.02.2018
FURNITUREDECOR,INTERNATIONAL_EXPEDITED,false,3,24,16.12.2017
JEWELRY,DOMESTIC,false,0,49,20.12.2017
MUSIC,DOMESTIC,false,2,50,30.03.2018
VIDEO,DOMESTIC_EXPEDITED,true,2,48,30.09.2018
WATCHES,INTERNATIONAL,true,3,6.99,31.09.2018
BOOKS,DOMESTIC_EXPEDITED,false,1,11.99,10.10.2015
WATCHES,INTERNATIONAL_EXPEDITED,false,0,24.99,31.09.2018
CLOTHING,DOMESTIC_EXPEDITED,true,0,3.79,16.02.2018
CLOTHING,DOMESTIC,false,0,2.99,30.03.2018
BOOKS,INTERNATIONAL,true,0,6.67,31.09.2018
MUSIC,DOMESTIC_EXPEDITED,false,0,6.5,16.02.2018
WATCHES,INTERNATIONAL,false,1,12.5,31.09.2018
MUSIC,INTERNATIONAL,false,2,12,31.09.2018
BOOKS,DOMESTIC_EXPEDITED,false,2,10,30.09.2018
WATCHES,DOMESTIC,true,2,9,31.09.2018
CLOTHING,DOMESTIC_EXPEDITED,false,2,13,31.09.2018
MUSIC,DOMESTIC,true,1,13.33,10.10.2015
ELECTRONICS,INTERNATIONAL,false,0,6.25,10.10.2015
ELECTRONICS,DOMESTIC_EXPEDITED,false,2,100,30.09.2018
WATCHES,INTERNATIONAL,false,3,200,31.09.2018
JEWELRY,DOMESTIC,true,1,800,10.10.2015
CLOTHING,DOMESTIC,true,0,500,30.09.2018
MUSIC,INTERNATIONAL_EXPEDITED,false,3,999,16.02.2018
